Sr_No,Date_dd/mm/yyyy,Startup_Name,Industry_Vertical,SubVertical,Country,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Currency,Remarks
408,1/6/2018,GridLink,Fintech,Lending,Brazil,São Paulo,500 Startups,Series C,56465000,USD,Acquired by Strategic
409,25/09/2023,SeedLumenEdge,Fintech,Neobanking,Japan,Tokyo,IDG Capital,Growth,262504000,USD,Acquired by Strategic
410,10/4/2022,LinkSeedVault,CleanTech,Energy Storage,Singapore,Singapore,Tiger Global; Benchmark,Series A,8776000,USD,Acquired
411,1/4/2019,CoreByteLink,CleanTech,EV Infrastructure,UK,London,IDG Capital; DST Global,Series A,14888000,USD,Exited - IPO
412,10/3/2023,FluxHarbor,Gaming,Esports,Singapore,Singapore,Sequoia Capital; Bessemer Venture Partners,Growth,116028000,USD,Follow-on expected
413,4/2/2021,ForgeSpark,Edtech,Upskilling,India,Bengaluru,General Catalyst,Series B,43972000,USD,Down round
414,13/02/2018,HarborLumenPulse,Gaming,Cloud Gaming,Japan,Tokyo,Accel; SoftBank Vision Fund,Series A,4664000,USD,Active
415,26/12/2015,LabsWise,Fintech,Insurtech,USA,San Francisco,DST Global; Khosla Ventures,Seed,372060,USD,Follow-on expected
416,2/4/2019,WiseLumen,E-commerce,D2C,Japan,Tokyo,Tiger Global; Khosla Ventures; PayPal Ventures,Series C,223375000,USD,Acquired
417,27/08/2015,BridgeVault,Edtech,K12,Canada,Toronto,Seedcamp,Seed,3571000,USD,Partnership announced
418,29/11/2017,BridgeForgeLoop,Healthtech,Biotech,Mexico,Mexico City,DST Global,IPO,1567854000,USD,Follow-on expected
419,19/03/2020,LabsVaultPulse,CleanTech,WasteTech,UAE,Dubai,Lightspeed; Accel,Series C,154941000,USD,Bankruptcy proceeding
420,8/11/2017,FluxFlux,Biotech,Therapeutics,Netherlands,Amsterdam,Lightspeed,Angel,121326,USD,Series delayed
421,5/5/2025,SparkSparkByte,Fintech,Payments,Netherlands,Amsterdam,Lightspeed; PayPal Ventures,Angel,25265,USD,Partnership announced
422,3/5/2021,PeakMintLumen,Edtech,LMS,Nigeria,Lagos,Bessemer Venture Partners; SOSV; Angel: S. Gupta,Venture Debt,0,USD,Undisclosed amount
423,17/03/2019,LumenLinkBridge,AgriTech,Ag Marketplaces,France,Paris,Accel,Seed,1352000,USD,Bankruptcy proceeding
424,1/11/2024,LoopGrid,AgriTech,PrecisionAg,Australia,Sydney,Benchmark; Bessemer Venture Partners,Series B,52211000,USD,Bridge round
425,17/12/2023,OrbitEdge,E-commerce,D2C,Germany,Berlin,Tiger Global; 500 Startups,Angel,29605,USD,Down round
426,20/04/2017,ByteGridCore,CleanTech,EV Infrastructure,Netherlands,Amsterdam,IDG Capital; Chiratae,Seed,924193,USD,Product pivot
427,8/7/2015,OrbitPeak,Healthtech,Telemedicine,Australia,Sydney,Tiger Global; PayPal Ventures,IPO,1525434000,USD,Product pivot
428,12/12/2019,LabsCloudEdge,AgriTech,Ag Marketplaces,India,Bengaluru,Founders Fund,Seed,1715000,USD,Follow-on expected
429,9/6/2021,LinkZen,Fintech,Payments,India,Bengaluru,Seedcamp,Series A,12687000,USD,Bridge round
430,25/05/2019,SeedForge,AI,Generative AI,USA,San Francisco,Sequoia Capital; Y Combinator; Norwest; Angel: L. Wang,Seed,4049000,USD,Bankruptcy proceeding
431,14/05/2021,ZenSeed,CleanTech,EV Infrastructure,Australia,Sydney,Chiratae; Founders Fund; Angel: L. Wang,Seed,1762000,USD,Operational
432,28/01/2019,LinkSeed,E-commerce,Logistics,UAE,Dubai,DST Global,Seed,1977000,USD,Partnership announced
433,30/11/2016,LoopForge,AI,Generative AI,UAE,Dubai,General Catalyst,Pre-Seed,67303,USD,Bankruptcy proceeding
434,21/08/2019,ForgeSync,Healthtech,Biotech,Germany,Berlin,Founders Fund; 500 Startups,Seed,694953,USD,Series delayed
435,8/2/2021,SyncLinkPeak,CleanTech,WasteTech,UK,London,Bessemer Venture Partners; Falcon Edge,Angel,236045,USD,Partnership announced
436,22/12/2016,CoreZen,AgriTech,FarmTech,Germany,Berlin,Y Combinator,Series B,72131000,USD,Bankruptcy proceeding
437,16/02/2025,NovaEdgePeak,AgriTech,FarmTech,Netherlands,Amsterdam,Andreessen Horowitz,Series A,4063000,USD,Follow-on expected
438,28/11/2023,FluxWiseSeed,E-commerce,Logistics,Mexico,Mexico City,PayPal Ventures,Series A,8565000,USD,Exited - IPO
439,26/02/2021,NovaSeed,AgriTech,PrecisionAg,Mexico,Mexico City,Khosla Ventures; Sequoia Capital,M&A,435004000,USD,Series delayed
440,18/11/2019,PulsePeakLink,E-commerce,Marketplaces,India,Mumbai,Seedcamp; Norwest,Series A,15229000,USD,Operational
441,17/02/2015,HarborNova,Logistics,ColdChain,France,Paris,Chiratae,Growth,102822000,USD,Follow-on expected
442,27/12/2021,GridOrbit,CleanTech,WasteTech,Israel,Tel Aviv,Seedcamp; DST Global,Seed,3588000,USD,Acquired by Strategic
443,27/08/2017,OrbitCloudWise,CleanTech,WasteTech,France,Paris,Falcon Edge; General Catalyst,Seed,3663000,USD,Series delayed
444,24/11/2015,VaultVault,Fintech,Payments,South Africa,Johannesburg,General Catalyst,Series A,14367000,USD,Series delayed
445,8/10/2025,ZenPeakHarbor,E-commerce,Logistics,Brazil,São Paulo,Elevation Capital,Seed,841941,USD,Series delayed
446,8/6/2021,MintWiseLoop,E-commerce,Marketplaces,Netherlands,Amsterdam,IDG Capital,Series A,2362000,USD,Bridge round
447,27/01/2024,ForgeNovaFlux,Fintech,Insurtech,South Africa,Johannesburg,Falcon Edge; Angel: S. Gupta,Seed,4069000,USD,Operational
448,9/10/2021,BridgeVault,Logistics,LastMile,Canada,Toronto,Benchmark; Angel: A. Kapoor,Seed,2457000,USD,Follow-on expected
449,5/11/2018,EdgeForge,AI,NLP,Canada,Toronto,IDG Capital,Series C,156807000,USD,Follow-on expected
450,11/8/2015,CloudLabsByte,Biotech,Bioinformatics,India,Mumbai,SOSV,Series B,32452000,USD,Follow-on expected
451,11/12/2017,OrbitWise,CleanTech,EV Infrastructure,UAE,Dubai,Seedcamp,Series C,155446000,USD,Active
452,20/06/2024,ForgeHarbor,CleanTech,WasteTech,Netherlands,Amsterdam,Y Combinator; Founders Fund; Elevation Capital,M&A,734233000,USD,Acquired by RetailGroup
453,7/8/2022,LinkMintLumen,E-commerce,Logistics,Japan,Tokyo,Falcon Edge; Lightspeed,Series C,159814000,USD,Active
454,28/10/2017,ByteNova,Healthtech,Telemedicine,South Korea,Seoul,Matrix Partners; SoftBank Vision Fund,Seed,971637,USD,Bankruptcy proceeding
455,12/5/2022,BridgeLinkLabs,AgriTech,Supply Chain,Mexico,Mexico City,DST Global,Series B,26103000,USD,Product pivot
456,17/08/2018,LinkZen,E-commerce,Logistics,UK,London,Seedcamp; Chiratae,Series B,47096000,USD,Bridge round
457,4/11/2021,LinkHarbor,Biotech,Bioinformatics,Netherlands,Amsterdam,Benchmark; Blume Ventures; 500 Startups; Angel: R. Sharma,M&A,278282000,USD,Acquired by LogiX
458,23/10/2017,NovaSpark,SaaS,HRTech,Japan,Tokyo,Tiger Global,Series B,23863000,USD,Follow-on expected
459,24/08/2023,SparkWise,Fintech,Payments,China,Beijing,Falcon Edge; Accel; IDG Capital,Seed,2867000,USD,Acquired by Strategic
460,10/1/2019,PeakFlux,Healthtech,MedDevices,India,Bengaluru,Founders Fund,Angel,262741,USD,Acquired by Strategic
461,2/4/2018,PulseLinkLumen,Gaming,Mobile Games,France,Paris,500 Startups,Series A,13411000,USD,Active
462,4/2/2022,VaultPulse,Gaming,Esports,Australia,Sydney,Matrix Partners; General Catalyst,Series B,0,USD,Undisclosed amount
463,8/2/2024,NovaByte,Fintech,Neobanking,UAE,Dubai,General Catalyst; Founders Fund,Angel,293404,USD,Exited - IPO
464,6/1/2021,VaultBridge,Fintech,Lending,Germany,Berlin,Chiratae,Seed,4488000,USD,Down round
465,18/06/2016,LinkHarbor,Fintech,Neobanking,UAE,Dubai,DST Global; Sequoia Capital; SoftBank Vision Fund,Series B,73246000,USD,Active
466,26/11/2021,ZenPulse,Healthtech,Biotech,Mexico,Mexico City,Y Combinator; General Catalyst,Seed,636515,USD,Acquired by Strategic
467,23/11/2023,ByteBridge,Gaming,Cloud Gaming,Netherlands,Amsterdam,PayPal Ventures,Seed,4932000,USD,Follow-on expected
468,19/05/2025,ByteEdgeLabs,Healthtech,Health Analytics,Israel,Tel Aviv,Founders Fund; Blume Ventures,Series C,120222000,USD,Partnership announced
469,28/08/2021,WiseSeed,Edtech,K12,UAE,Dubai,Tiger Global,Seed,160599,USD,Operational
470,4/6/2015,LinkSeedSpark,SaaS,MarTech,Canada,Toronto,Blume Ventures,Series A,15825000,USD,Bankruptcy proceeding
471,10/12/2021,LumenOrbit,Gaming,Game Tools,France,Paris,IDG Capital,Series A,9907000,USD,Down round
472,16/10/2016,ByteByteHarbor,Gaming,Esports,Canada,Toronto,Chiratae; General Catalyst,Pre-Seed,19769,USD,Exited - IPO
473,9/10/2016,SparkOrbit,Biotech,Diagnostics,Netherlands,Amsterdam,SOSV; Angel: R. Sharma,Series B,70820000,USD,Acquired
474,31/07/2017,MintSync,SaaS,Analytics,South Africa,Johannesburg,Chiratae,Series A,16062000,USD,Acquired
475,16/08/2016,ForgeGrid,Biotech,Genomics,China,Beijing,General Catalyst; Angel: L. Wang,Venture Debt,5434000,USD,Follow-on expected
476,23/02/2018,LabsGrid,Edtech,LMS,India,Bengaluru,Andreessen Horowitz; Angel: A. Kapoor,Series B,46198000,USD,Operational
477,21/12/2015,OrbitSpark,AI,NLP,Australia,Sydney,Founders Fund,Series B,32808000,USD,Down round
478,31/12/2024,EdgeBridgeNova,CleanTech,EV Infrastructure,India,Bengaluru,Bessemer Venture Partners,Series B,43105000,USD,Acquired by Strategic
479,28/01/2020,SyncZen,Fintech,Lending,Brazil,São Paulo,Seedcamp,Pre-Seed,74615,USD,Series delayed
480,2/6/2018,SeedGrid,Biotech,Genomics,Israel,Tel Aviv,Tiger Global; Accel,Angel,135337,USD,Bankruptcy proceeding
481,23/11/2022,NovaHarborZen,Fintech,Lending,Japan,Tokyo,Matrix Partners,Series C,247626000,USD,Acquired by Strategic
482,28/04/2017,ZenForgeMint,AI,Computer Vision,Australia,Sydney,DST Global; Founders Fund,Series A,11053000,USD,Product pivot
483,18/12/2016,LumenSeedZen,Logistics,FreightTech,USA,San Francisco,Sequoia Capital,Seed,3167000,USD,Series delayed
484,18/11/2022,VaultSync,SaaS,MarTech,Netherlands,Amsterdam,SOSV; Falcon Edge,Seed,1053000,USD,Exited - IPO
485,20/04/2024,SparkSeed,E-commerce,Logistics,Canada,Toronto,General Catalyst,Pre-Seed,53865,USD,Series delayed
486,20/05/2019,FluxZen,Logistics,FreightTech,Japan,Tokyo,500 Startups,Series B,18808000,USD,Acquired
487,27/08/2022,EdgeSparkLoop,Healthtech,MedDevices,UAE,Dubai,Elevation Capital; Angel: L. Wang,Seed,1813000,USD,Acquired by Strategic
488,14/08/2019,MintHarborHarbor,Gaming,Mobile Games,Australia,Sydney,SoftBank Vision Fund; IDG Capital,Seed,284856,USD,Exited - IPO
489,17/07/2017,LoopFlux,Gaming,Cloud Gaming,Japan,Tokyo,Khosla Ventures; Blume Ventures,Seed,1207000,USD,Active
490,30/05/2024,SeedPeakEdge,E-commerce,Logistics,Singapore,Singapore,Khosla Ventures; Blume Ventures,Series B,31581000,USD,Follow-on expected
491,23/05/2015,MintLoopEdge,Fintech,Insurtech,South Africa,Johannesburg,Lightspeed,Seed,2284000,USD,Exited - IPO
492,13/04/2023,OrbitMintHarbor,Edtech,Test Prep,Germany,Berlin,Andreessen Horowitz; 500 Startups; PayPal Ventures,IPO,918791000,USD,Product pivot
493,4/2/2025,EdgePeak,E-commerce,D2C,South Africa,Johannesburg,Y Combinator,Series B,69338000,USD,Series delayed
494,17/07/2021,SyncCloudPulse,Fintech,Lending,Mexico,Mexico City,PayPal Ventures; Angel: R. Sharma,Growth,259430000,USD,Active
495,18/08/2015,LoopCoreEdge,CleanTech,Energy Storage,Brazil,São Paulo,DST Global,Series A,18457000,USD,Product pivot
496,25/12/2015,VaultGrid,AI,Generative AI,France,Paris,500 Startups,Pre-Seed,50209,USD,Product pivot
497,15/09/2021,EdgePulse,CleanTech,EV Infrastructure,Singapore,Singapore,Bessemer Venture Partners; Andreessen Horowitz,Series C,257543000,USD,Bridge round
498,3/4/2025,WiseLink,Logistics,FreightTech,UK,London,Tiger Global; Accel,IPO,1318473000,USD,Series delayed
499,11/5/2024,FluxSparkLumen,AgriTech,Supply Chain,India,Bengaluru,General Catalyst; Angel: S. Gupta,Seed,3303000,USD,Product pivot
500,5/9/2019,SparkSeed,Fintech,Payments,Israel,Tel Aviv,Chiratae,Seed,4064000,USD,Partnership announced
501,5/5/2021,CloudHarbor,Healthtech,Health Analytics,UAE,Dubai,Matrix Partners,M&A,72645000,USD,Acquired by GlobalCorp
502,8/7/2016,LinkByte,AgriTech,PrecisionAg,Canada,Toronto,500 Startups,Seed,590820,USD,Bridge round
503,16/01/2022,LabsForge,Gaming,Game Tools,USA,San Francisco,Tiger Global; IDG Capital,Seed,4543000,USD,Follow-on expected
504,11/8/2016,EdgeOrbit,AI,Robotics,Canada,Toronto,Falcon Edge,Series B,58657000,USD,Bridge round
505,29/04/2024,LumenForge,CleanTech,WasteTech,Netherlands,Amsterdam,Andreessen Horowitz,IPO,400102000,USD,Product pivot
506,18/05/2020,FluxSeed,Logistics,LastMile,South Korea,Seoul,Andreessen Horowitz,Series A,4564000,USD,Exited - IPO
507,14/10/2022,SeedSync,CleanTech,EV Infrastructure,Singapore,Singapore,Y Combinator; SoftBank Vision Fund,Series B,13860000,USD,Bridge round
508,24/06/2015,LabsByte,Edtech,K12,South Korea,Seoul,General Catalyst,Series B,24995000,USD,Partnership announced
509,10/10/2023,ForgePulse,Fintech,Lending,Germany,Berlin,Chiratae; Angel: A. Kapoor,Venture Debt,3405000,USD,Bankruptcy proceeding
510,15/11/2021,OrbitBridge,Edtech,Test Prep,India,Bengaluru,Matrix Partners; Blume Ventures; IDG Capital,Seed,2427000,USD,Acquired
511,9/2/2016,OrbitSeed,AgriTech,PrecisionAg,Brazil,São Paulo,Blume Ventures; Founders Fund; Accel,Seed,1707000,USD,Operational
512,4/10/2019,OrbitSync,AgriTech,Supply Chain,Japan,Tokyo,Matrix Partners,Series B,24405000,USD,Acquired by Strategic
513,1/4/2021,ByteZenMint,AI,Computer Vision,Japan,Tokyo,Matrix Partners,Seed,1240000,USD,Operational
514,4/8/2024,PulseZen,E-commerce,Logistics,Mexico,Mexico City,Bessemer Venture Partners,Series B,69587000,USD,Operational
515,3/8/2022,LabsEdge,AI,NLP,India,Bengaluru,Norwest; 500 Startups,M&A,528903000,USD,Acquired by LogiX
516,25/05/2024,VaultSpark,Edtech,K12,France,Paris,Norwest,M&A,364603000,USD,Bridge round
517,18/03/2016,CloudSpark,AgriTech,Ag Marketplaces,China,Beijing,IDG Capital; Benchmark; Andreessen Horowitz,Angel,222044,USD,Operational
518,17/04/2019,PeakMintEdge,Edtech,K12,Germany,Berlin,Accel,Series B,19157000,USD,Bridge round
519,29/08/2020,LumenMint,Healthtech,Telemedicine,Brazil,São Paulo,Chiratae,Series C,280194000,USD,Series delayed
520,2/12/2024,LinkSparkWise,Fintech,Lending,Germany,Berlin,500 Startups; Sequoia Capital; Angel: S. Gupta,Angel,174919,USD,Follow-on expected
521,3/5/2020,LinkOrbitByte,Biotech,Bioinformatics,Germany,Berlin,Chiratae; Founders Fund,Series A,18460000,USD,Acquired by Strategic
522,9/6/2016,LoopVault,AgriTech,FarmTech,Mexico,Mexico City,Accel,Series B,0,USD,Undisclosed amount
523,11/10/2017,HarborFlux,Gaming,Game Tools,China,Beijing,Bessemer Venture Partners; Matrix Partners; Sequoia Capital,Seed,2995000,USD,Bankruptcy proceeding
524,6/9/2024,BridgeOrbit,Healthtech,Health Analytics,Germany,Berlin,Sequoia Capital,Seed,265356,USD,Acquired by Strategic
525,14/02/2016,PeakPulseMint,CleanTech,Energy Storage,Netherlands,Amsterdam,Y Combinator,Angel,214630,USD,Operational
526,30/10/2023,LumenPulse,Gaming,Game Tools,Singapore,Singapore,Lightspeed; General Catalyst; Elevation Capital,Series B,58766000,USD,Bridge round
527,24/01/2018,BridgeOrbit,E-commerce,Logistics,India,Mumbai,Falcon Edge; Y Combinator,Series B,22342000,USD,Operational
528,25/08/2019,CloudForge,AI,Computer Vision,Australia,Sydney,Founders Fund,Series A,12063000,USD,Series delayed
529,15/10/2025,GridCloudHarbor,Logistics,FleetMgmt,India,Bengaluru,Falcon Edge; General Catalyst,Series B,79286000,USD,Series delayed
530,2/8/2023,WiseWise,Biotech,Therapeutics,Brazil,São Paulo,Andreessen Horowitz,Seed,3980000,USD,Exited - IPO
531,21/07/2019,LabsEdge,Healthtech,MedDevices,South Korea,Seoul,Benchmark; Chiratae,Seed,0,USD,Undisclosed amount
532,22/01/2018,NovaCloud,E-commerce,Logistics,UAE,Dubai,Sequoia Capital,Series A,16634000,USD,Bridge round
533,21/09/2024,WiseLoop,Edtech,K12,UAE,Dubai,Tiger Global; PayPal Ventures,Series C,59704000,USD,Partnership announced
534,5/7/2021,CloudSparkZen,Healthtech,Biotech,Israel,Tel Aviv,Y Combinator; IDG Capital,Seed,4890000,USD,Down round
535,29/01/2018,WiseCloud,AI,Robotics,South Africa,Johannesburg,Lightspeed; Andreessen Horowitz; Y Combinator,Series B,41667000,USD,Bankruptcy proceeding
536,11/11/2024,LoopSpark,Logistics,FreightTech,Germany,Berlin,SoftBank Vision Fund,Seed,3655000,USD,Product pivot
537,13/07/2022,CloudLumen,E-commerce,Marketplaces,Mexico,Mexico City,Sequoia Capital; Seedcamp,Pre-Seed,91798,USD,Acquired by Strategic
538,29/05/2019,FluxZen,AI,Computer Vision,Nigeria,Lagos,Accel,Growth,480446000,USD,Down round
539,25/03/2024,SparkVault,Edtech,LMS,Netherlands,Amsterdam,Sequoia Capital; Benchmark,Growth,431641000,USD,Acquired by Strategic
540,2/10/2021,LumenVaultMint,AI,Generative AI,Germany,Berlin,Tiger Global,Growth,394995000,USD,Operational
541,9/7/2018,ZenLabsLink,Fintech,Neobanking,Japan,Tokyo,Lightspeed,Series C,103064000,USD,Down round
542,11/12/2016,BridgeMintFlux,Gaming,Esports,Mexico,Mexico City,SOSV,Series B,52869000,USD,Down round
543,9/5/2025,HarborForgeHarbor,AI,NLP,China,Beijing,SoftBank Vision Fund; Accel,Growth,468115000,USD,Down round
544,1/12/2017,ZenLoop,CleanTech,Solar,Canada,Toronto,DST Global,Series B,32650000,USD,Follow-on expected
545,12/4/2017,CloudFlux,Healthtech,Telemedicine,Brazil,São Paulo,General Catalyst; Y Combinator,Series A,17224000,USD,Product pivot
546,20/11/2023,NovaFlux,Edtech,LMS,India,Bengaluru,Lightspeed; Bessemer Venture Partners,Series B,47979000,USD,Bridge round
547,17/08/2018,CorePeakPulse,CleanTech,Solar,France,Paris,General Catalyst,Series A,17373000,USD,Product pivot
548,22/12/2018,PeakForgeSeed,Biotech,Diagnostics,UK,London,SoftBank Vision Fund,Seed,592850,USD,Product pivot
549,10/4/2021,BridgeLink,Fintech,Insurtech,Brazil,São Paulo,Chiratae; Matrix Partners; Andreessen Horowitz,Series B,50602000,USD,Bridge round
550,7/7/2018,EdgeSpark,CleanTech,EV Infrastructure,Japan,Tokyo,Bessemer Venture Partners; Andreessen Horowitz,Seed,2762000,USD,Bridge round
551,16/07/2018,SparkEdgeLumen,Biotech,Diagnostics,Canada,Toronto,Bessemer Venture Partners,Series B,45401000,USD,Partnership announced
552,1/12/2022,WiseLabs,CleanTech,Energy Storage,India,Bengaluru,General Catalyst,Seed,0,USD,Undisclosed amount
553,9/3/2018,LinkVault,AI,Generative AI,Japan,Tokyo,Tiger Global,Series A,6968000,USD,Series delayed
554,28/04/2025,SyncSpark,AgriTech,Supply Chain,South Africa,Johannesburg,Falcon Edge,M&A,0,USD,Undisclosed amount
555,25/04/2024,PeakSparkGrid,Gaming,Mobile Games,China,Beijing,Andreessen Horowitz; Accel,Angel,65611,USD,Partnership announced
556,27/03/2023,EdgePulseByte,AgriTech,PrecisionAg,Netherlands,Amsterdam,500 Startups; PayPal Ventures,M&A,705560000,USD,Acquired by GlobalCorp
557,23/07/2024,LinkCore,Logistics,ColdChain,UK,London,Norwest,Series A,7973000,USD,Acquired by Strategic
558,10/1/2019,LabsLoopOrbit,Gaming,Esports,Germany,Berlin,Khosla Ventures; Chiratae,Seed,3727000,USD,Down round
559,19/11/2021,WiseHarbor,Biotech,Bioinformatics,Canada,Toronto,Bessemer Venture Partners,Series A,16196000,USD,Acquired by Strategic
560,27/11/2019,SparkFlux,Logistics,FreightTech,Japan,Tokyo,IDG Capital; Elevation Capital; Tiger Global,Series B,30813000,USD,Follow-on expected
561,3/10/2020,OrbitWise,Gaming,Game Tools,India,Mumbai,Founders Fund; Angel: A. Kapoor,Series A,11915000,USD,Acquired by Strategic
562,10/3/2020,LinkCore,Gaming,Game Tools,France,Paris,Accel; Y Combinator,Seed,785932,USD,Active
563,9/10/2024,PulseLink,E-commerce,Vertical Commerce,South Africa,Johannesburg,Benchmark; PayPal Ventures,Series B,70391000,USD,Acquired
564,28/02/2020,CorePeakVault,AgriTech,Ag Marketplaces,Germany,Berlin,Y Combinator; Angel: L. Wang,Series A,2601000,USD,Bankruptcy proceeding
565,25/02/2024,SeedPulse,E-commerce,Vertical Commerce,China,Beijing,Accel,Series C,77049000,USD,Active
566,25/09/2019,LabsLink,Gaming,Esports,India,Mumbai,500 Startups,Series A,8406000,USD,Follow-on expected
567,20/04/2024,ByteMint,CleanTech,WasteTech,UAE,Dubai,Lightspeed,Pre-Seed,63918,USD,Active
568,17/08/2021,ForgePeakSpark,Biotech,Bioinformatics,UAE,Dubai,Norwest,Series B,49027000,USD,Down round
569,22/04/2020,SparkForge,Logistics,LastMile,South Korea,Seoul,Elevation Capital,Series A,4131000,USD,Partnership announced
570,18/06/2017,PeakMintForge,Biotech,Therapeutics,Singapore,Singapore,500 Startups,Seed,1712000,USD,Product pivot
571,20/12/2023,ForgePulse,Edtech,Test Prep,China,Beijing,Elevation Capital; SOSV; Matrix Partners,IPO,1839027000,USD,Bridge round
572,15/07/2020,SyncPulse,Healthtech,Biotech,Israel,Tel Aviv,Y Combinator; Bessemer Venture Partners,Seed,0,USD,Undisclosed amount
573,15/10/2018,LabsForge,Fintech,Insurtech,Canada,Toronto,IDG Capital; Angel: A. Kapoor,Angel,93154,USD,Down round
574,31/03/2021,EdgeSeed,SaaS,Analytics,Canada,Toronto,Sequoia Capital,M&A,843765000,USD,Series delayed
575,2/11/2021,LumenByte,Fintech,Lending,Japan,Tokyo,Y Combinator,M&A,812496000,USD,Acquired by GlobalCorp
576,29/01/2019,EdgeLabs,AI,NLP,Australia,Sydney,Y Combinator,Series B,77900000,USD,Down round
577,25/12/2017,SeedWise,Biotech,Therapeutics,India,Mumbai,IDG Capital,Growth,274296000,USD,Exited - IPO
578,4/8/2019,OrbitPeak,SaaS,MarTech,Brazil,São Paulo,Bessemer Venture Partners,Series A,9657000,USD,Exited - IPO
579,4/11/2016,ByteCore,CleanTech,Solar,India,Bengaluru,Tiger Global; PayPal Ventures; Norwest,Series B,79437000,USD,Active
580,7/12/2024,SeedLumenFlux,Gaming,Esports,South Africa,Johannesburg,Chiratae; IDG Capital; Khosla Ventures,Pre-Seed,87786,USD,Product pivot
581,14/12/2024,ForgeForgeHarbor,AI,Computer Vision,Canada,Toronto,Seedcamp; Norwest; 500 Startups,Venture Debt,41463000,USD,Operational
582,23/01/2023,EdgeOrbitLumen,Gaming,Cloud Gaming,India,Bengaluru,PayPal Ventures,Venture Debt,6156000,USD,Bridge round
583,15/09/2017,VaultWise,Logistics,FreightTech,Brazil,São Paulo,Founders Fund,Angel,93900,USD,Series delayed
584,13/01/2020,BridgeVault,Fintech,Insurtech,Canada,Toronto,Elevation Capital,Series B,57577000,USD,Active
585,11/10/2017,MintOrbit,SaaS,MarTech,France,Paris,Seedcamp; Norwest,Seed,4905000,USD,Bankruptcy proceeding
586,16/06/2016,PulseGrid,AI,Generative AI,Germany,Berlin,Tiger Global; Sequoia Capital,Seed,3671000,USD,Acquired
587,8/12/2019,SparkVaultWise,Logistics,ColdChain,South Africa,Johannesburg,Falcon Edge; General Catalyst,Series A,15247000,USD,Follow-on expected
588,22/04/2020,VaultLink,Edtech,LMS,Japan,Tokyo,Y Combinator; Seedcamp,Seed,4405000,USD,Series delayed
589,2/3/2019,LoopFlux,Healthtech,Biotech,Germany,Berlin,IDG Capital,Seed,4896000,USD,Bridge round
590,25/06/2020,LabsLumen,Edtech,Upskilling,South Africa,Johannesburg,Lightspeed; Blume Ventures,Series A,12240000,USD,Exited - IPO
591,27/06/2016,OrbitHarbor,Fintech,Lending,UAE,Dubai,Norwest; General Catalyst; SOSV,Series A,17179000,USD,Operational
592,5/8/2019,SyncCore,Gaming,Cloud Gaming,Israel,Tel Aviv,DST Global,Growth,194599000,USD,Exited - IPO
593,7/12/2022,LumenHarbor,Gaming,Cloud Gaming,Canada,Toronto,Falcon Edge; Elevation Capital,Series B,32228000,USD,Acquired
594,18/03/2015,PeakLumen,Healthtech,MedDevices,Mexico,Mexico City,IDG Capital; Lightspeed; General Catalyst,Series A,3774000,USD,Follow-on expected
595,21/10/2021,CoreBridge,E-commerce,D2C,India,Mumbai,500 Startups; Tiger Global,Growth,470390000,USD,Active
596,14/04/2016,LumenLink,Fintech,Insurtech,South Korea,Seoul,PayPal Ventures; Norwest,Seed,301804,USD,Bridge round
597,13/01/2017,SeedByte,E-commerce,Marketplaces,Israel,Tel Aviv,Sequoia Capital; DST Global,Seed,3516000,USD,Bridge round
598,8/6/2023,BridgeSyncSpark,AI,NLP,South Korea,Seoul,Y Combinator; Angel: R. Sharma,Venture Debt,17810000,USD,Series delayed
599,28/07/2019,SyncNovaCloud,Biotech,Therapeutics,Canada,Toronto,Tiger Global,Seed,3999000,USD,Series delayed
600,28/06/2024,OrbitPulseEdge,Gaming,Mobile Games,India,Mumbai,Bessemer Venture Partners,Series C,97416000,USD,Exited - IPO
601,11/10/2025,FluxHarborLink,Edtech,Upskilling,Nigeria,Lagos,Accel,IPO,1242180000,USD,Active
602,26/02/2018,LinkVault,CleanTech,EV Infrastructure,Mexico,Mexico City,Elevation Capital; Lightspeed; Falcon Edge,Seed,3289000,USD,Series delayed
603,29/08/2020,PeakMint,E-commerce,Marketplaces,China,Beijing,Benchmark; Bessemer Venture Partners,Series B,28744000,USD,Partnership announced
604,7/9/2018,SeedEdge,CleanTech,EV Infrastructure,India,Mumbai,500 Startups,Series B,53170000,USD,Partnership announced
605,20/11/2022,CoreLumen,AgriTech,FarmTech,India,Bengaluru,Founders Fund,Venture Debt,45645000,USD,Acquired
606,12/2/2024,ForgeLoop,Gaming,Mobile Games,Nigeria,Lagos,Y Combinator,Pre-Seed,93029,USD,Acquired by Strategic
607,4/7/2023,PeakSeed,Fintech,Payments,Japan,Tokyo,SoftBank Vision Fund,Angel,111182,USD,Exited - IPO
608,5/12/2022,PulseNovaPulse,AgriTech,Ag Marketplaces,India,Mumbai,Sequoia Capital; Benchmark; General Catalyst,Seed,4242000,USD,Partnership announced
609,5/6/2016,BridgeSync,E-commerce,Logistics,Singapore,Singapore,Andreessen Horowitz,Series A,7890000,USD,Series delayed
610,26/11/2024,NovaWise,E-commerce,D2C,India,Bengaluru,DST Global; Benchmark,M&A,745088000,USD,Partnership announced
611,28/06/2015,SyncByteCloud,AI,Generative AI,South Korea,Seoul,Matrix Partners,Seed,4448000,USD,Acquired by Strategic
